Metric,Threshold,Direction
ActiveConnectedHours,50,above
AfterHoursCollaboration,5,above
MeetingHoursWithManagerOneOnOne,.192,above
MeetingHoursWithManagerOneOnOne,.115,below
MeetingsWithManagerOneOnOne,.462,above
MeetingsWithManagerOneOnOne,.231,below
RecurringMeetingHours, 8,above
